node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration,use_intervals,min_num_intervals,integrator,initialMatrixType,rel_tolerance
3,2,7,0.37491172509533655,-1.374592709452628,31172083,-1.3745927095110813,4450958,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,2,4.824300013008781,-8.286477451213868,1928541,-8.286477523761354,1176625,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
11,6,6,2.578884440307022,-20.093605026677817,4144958,-20.093605070617283,3084959,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
151,76,10,5.378938760220135,-469.02773259013105,12790291,-469.02772941470164,33358875,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,2,1.0624498761218195,-2.457508093870053,374667,-2.45750809414904,135666,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,4,2.2700257634154304,-7.445808800120773,1082459,-7.445808829242404,879416,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,5,2.603382758742372,-7.353271774169711,990667,-7.3532717548545286,457292,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
1749,875,5,4.875431073381499,-6864.858556453342,15183875,-6864.858516629118,67745583,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,10,0.9499230891291208,-4.9917876196883775,2598625,-4.9917876305573525,1389208,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
371,186,3,4.601438786359058,-1064.4627019168022,3953833,-1064.4626972962537,15825542,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,10,2.370862513748726,-7.069346412121973,5471375,-7.069346406105161,1241458,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,8,0.27689744790669657,-6.971260816491231,828125,-6.971260816448955,434167,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
9,5,8,4.579113460691432,-25.476610401892838,2951208,-25.476610415070365,3015542,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,2,0.8791040572296664,-0.7317421021276582,375667,-0.7317421340488139,110084,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,9,2.054987813694621,-6.301593823822731,6875125,-6.3015938342077416,644208,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,7,0.9498248142925365,-3.2268151442194335,2155583,-3.2268151466534913,349458,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
1999,1000,2,5.321441899624549,-7201.998831209246,11126208,-7201.9987583072625,45365417,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,9,5.397273477743929,-12.68613898507023,2231625,-12.686138909287447,944375,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,6,1.2842541951065427,-3.3912617966999927,1153750,-3.391261895504704,640416,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,6,0.6262724875727446,-5.580493216157025,458625,-5.580493214969154,235250,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
15,8,7,2.4731522573782474,-28.644204352639814,1150958,-28.644204198541267,1118375,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
5,3,5,2.3817867293513326,-8.544108967922671,1195000,-8.544108971797712,279000,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,8,1.7979005734746139,-5.571022401577526,874000,-5.571022418012946,357208,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
9,5,9,2.557638342522985,-15.405583613485339,1465000,-15.405583624684134,2081000,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
25,13,2,4.732216019822925,-49.86174671750439,264041,-49.861746853733834,772458,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
15,8,2,2.6605212094670003,-20.920472663933502,201542,-20.92047263826663,319125,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,3,0.1269716963111282,-0.9355841556367749,312375,-0.9355841556393839,105167,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,5,0.09858999647490851,-1.0124353507619683,1095417,-1.0124353507620327,173000,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
11,6,10,3.2889608903796197,-22.51456154298596,2073458,-22.514561391808424,1962459,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
13,7,4,3.4498705607552584,-25.752862941045972,562542,-25.752862798833206,443458,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,9,1.3664767371255455,-6.105508066169033,945083,-6.105508073601015,460084,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
29,15,10,3.606153730328591,-70.47372037685487,2158625,-70.4737204904142,4930000,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
27,14,5,3.1675899913438985,-46.572481267311396,585708,-46.57248084388579,2303667,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,5,2.5082338888420868,-7.1742839925420885,616125,-7.174283944129012,241083,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
901,451,6,3.4426903135755147,-3072.454948092187,3353958,-3072.4549388830337,43056000,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,2,1.3745728087037046,-3.7871615615285052,503584,-3.7871615593580787,250459,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,5,0.8801454048850148,-1.5419375003928124,273917,-1.5419375143027874,112041,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
21,11,9,3.9619862115546693,-51.82908921459108,2523083,-51.82908916976801,1622375,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
5,3,9,1.6870628342279257,-11.994228852674619,683000,-11.99422880648073,399250,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,7,1.1223192023475896,-2.919146335656524,405875,-2.9191463567761535,200917,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
7,4,10,0.8377514487457504,-7.845306885930179,875250,-7.8453068951504195,671875,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,3,0.8516803870226953,-2.9486710615516527,235125,-2.948671059699803,62792,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
99,50,8,3.4022946883022147,-257.3637807260117,2705875,-257.3637809727578,6401375,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,9,0.8433976938879268,-5.91050947623098,562041,-5.910509472883209,246084,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
163,82,2,3.2681181039612217,-353.7621213141059,409084,-353.7621212340113,1825958,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
205,103,8,3.788513386715473,-643.0824403165312,3119417,-643.0824396146502,15660083,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
365,183,6,5.460745136914537,-1284.0185211533644,1806250,-1284.0185222692012,14830292,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,9,0.27816601558940063,-2.184748597485237,553084,-2.1847485974911725,216042,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
17,9,5,3.3500732114498173,-36.95873609648195,461208,-36.95873602750657,467042,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
139,70,5,4.29061101440769,-383.91696774009563,787666,-383.9169655159857,3692958,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
19,10,8,2.4200760331631423,-42.00201024696621,745917,-42.00201018447157,1026125,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
21,11,10,2.9606338298416564,-45.93310241671457,2473209,-45.93310230487256,2630667,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,9,0.7804574399335078,-3.342568454767708,492959,-3.342568460275806,319959,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
13,7,4,2.861758330323538,-23.710385798244637,730291,-23.710385762369505,233125,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,4,1.7211052244890168,-3.3850689271717953,168708,-3.3850689389976902,85375,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
11,6,5,2.3937320548519856,-18.423296742998826,276250,-18.423296723361553,310834,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
411,206,10,5.398047126902983,-1402.51470313266,3741792,-1402.5147020397908,35368459,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
321,161,9,4.901316167217072,-1107.4867497403332,2408000,-1107.4867432190765,20757459,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,8,0.359681252729137,-2.6941689354851164,347042,-2.6941689354360463,175125,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,9,0.15923434160982675,-0.6985582442375674,430459,-0.6985582442380411,249167,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,6,1.7372901379980872,-4.008191887356343,268291,-4.0081918975586825,135416,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,3,1.2914979338687556,-2.0455536434799604,107500,-2.0455536700303227,66625,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
49,25,6,3.7495586657203566,-125.82655735171946,589584,-125.82655657285652,1377750,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
95,48,10,4.213999700575808,-294.94284604488723,1877792,-294.9428458344062,10919750,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
99,50,8,4.802793073551671,-276.6119056419083,1320083,-276.61190467460267,4931709,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
9,5,2,3.5267268483061702,-15.862450415478877,183959,-15.86245029862088,130584,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
7,4,10,1.2883344349354804,-13.546736544379856,680208,-13.54673651970666,679042,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
13,7,3,1.782589937903752,-14.34389380207416,127083,-14.34389392507532,195042,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,10,2.2098101188311277,-7.686503196529822,941375,-7.6865032150708625,462125,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,10,1.0562666147326256,-6.331031708234814,524875,-6.3310317151384075,312917,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
43,22,10,3.5441003354458083,-107.98397944594217,2076416,-107.98397926209489,4405625,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
105,53,9,4.7620729284756855,-321.38389523633174,1889333,-321.3838965832257,8021708,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
185,93,7,5.476788509073055,-625.9012487262003,1524334,-625.9012483958511,8676042,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,3,0.5071173890769655,-2.0922538839784712,340208,-2.0922538840076035,84458,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
5,3,3,2.1416217738277896,-8.217132153194541,149625,-8.217132155412436,115000,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
3,2,6,0.7372497056462084,-4.016603176200514,246791,-4.016603187004053,118583,false,4,DormandPrince54Integrator,true,4.4668359215096346E-8
