node_count,leaf_count,types_count,process_length,flow_likelihood,flow_duration,bdmm_likelihood,bdmm_duration,use_intervals,min_num_intervals,integrator,useRandomInitial
3,2,5,0.06205328453503767,-0.7185345084182208,28660333,-0.7185483502255211,3480750,true,8,DormandPrince54Integrator,true
13,7,10,3.5160597455815212,-33.53482407336895,10097292,-33.53482635563931,6544250,false,8,DormandPrince54Integrator,false
27,14,2,1.9399167088437554,-36.949172829255595,996417,-36.94917302596662,1303458,false,8,DormandPrince54Integrator,true
17,9,2,3.1036589375630372,-29.505572267464363,1002458,-29.505572537552542,772250,true,8,DormandPrince54Integrator,true
33,17,7,4.3379820724493126,-85.53117143820457,13612916,-85.53117136904308,5150209,true,8,DormandPrince54Integrator,false
67,34,6,3.327005884983897,-160.34651965061428,6290375,-160.34651661610792,11972708,false,8,DormandPrince54Integrator,true
3,2,10,0.8522551708729996,-6.10878624014256,2639792,-6.10878624225659,1497875,false,8,DormandPrince54Integrator,true
15,8,3,5.341273405370959,-33.980991920751755,1313500,-33.9809922680076,734416,false,8,DormandPrince54Integrator,false
15,8,4,3.1866811092826373,-34.94497767602083,1882750,-34.94497704625955,650791,false,8,DormandPrince54Integrator,false
15,8,3,2.1517612893092997,-22.535726098423485,2093000,-22.535726134778418,530708,true,8,DormandPrince54Integrator,false
5,3,7,2.0509030384128675,-6.646700853083587,2682292,-6.646700889098804,496000,false,8,DormandPrince54Integrator,false
3,2,5,1.1152011943306799,-4.764272788236963,3428500,-4.764272797854676,259333,true,8,DormandPrince54Integrator,false
9,5,8,2.238094662686096,-8.943764420670707,10755000,-8.943764395735101,1012750,true,8,DormandPrince54Integrator,false
3,2,6,1.122336427167474,-5.3536428395801074,1365542,-5.353642849018959,882500,false,8,DormandPrince54Integrator,false
3,2,7,4.878519092208018,-10.53494777212905,4076250,-10.534947673956163,803333,false,8,DormandPrince54Integrator,false
3,2,6,2.122532351163056,-9.652832376864378,5397291,-9.65283238833096,379292,true,8,DormandPrince54Integrator,false
11,6,5,1.7733320132104204,-15.399165324909742,3731792,-15.399165409246944,482125,true,8,DormandPrince54Integrator,false
3,2,6,0.8210692039365958,-2.862326673888898,1497625,-2.861473978423176,264458,true,8,DormandPrince54Integrator,true
7,4,8,1.8142648848686762,-13.931989093094092,3373000,-13.93198903461821,894375,true,8,DormandPrince54Integrator,true
3,2,5,0.5187687770832875,-1.595405981291392,794459,-1.595405982034164,223208,true,8,DormandPrince54Integrator,true
5,3,4,1.7940786131009883,-9.477565996920061,446750,-9.47756599360197,275375,false,8,DormandPrince54Integrator,true
5,3,9,1.503623378204344,-10.219656156838175,1909083,-10.21965622411881,1469708,true,8,DormandPrince54Integrator,true
273,137,3,4.440916893175613,-693.0149362420747,5570625,-693.0149270584008,7720375,false,8,DormandPrince54Integrator,false
13,7,5,2.8442335451139846,-31.764513832333954,1254250,-31.764513367722913,758459,false,8,DormandPrince54Integrator,true
